Index,Time[d.s],IEs_T(15)_S(17)_EvLim(20),IEs_T(15)_S(33)_EvLim(20),IEs_T(30)_S(17)_EvLim(20),IEs_T(30)_S(33)_EvLim(20)
11645,737071.8064075351,25138.28354381757,25138.28354381757,25138.28354381757,18310.603357809025
11646,737071.8295619658,32423.657448702288,28901.401989123504,19498.17200901481,20573.492426158326
11649,737072.0176094834,30901.17633647845,26859.36638260618,17823.78788732496,19359.556509427737
11720,737076.2346535197,24764.234907327023,22927.64760518625,24764.234907327023,18141.388137340942
11726,737076.578366551,29786.929784116648,26877.723926813123,18565.319494567346,24722.08392825078
11758,737080.6248455418,28588.86701483033,25735.758527889782,28588.86701483033,20377.608091260732
11779,737081.643145655,28588.86701483033,25735.758527889782,28588.86701483033,20377.608091260732
11791,737082.1696838668,28588.86701483033,25735.758527889782,28588.86701483033,20377.608091260732
11852,737084.6968175701,31324.313541131687,31324.313541131687,21914.51350435926,20909.989040773664
11875,737085.6381048317,29749.96749685104,28656.416025202863,22717.539795738958,16910.825148141757
11899,737086.9063808689,29927.60657671181,29471.45719651411,29927.60657671181,21905.570499791065
11946,737088.4237795466,29878.4763637406,30225.534457128648,29384.00814994639,26382.919565217497
11950,737088.4729315335,37863.10472430177,36839.36905008806,21611.305765978308,23429.028997728023
12059,737092.842651891,37863.10472430177,36839.36905008806,21611.305765978308,23429.028997728023
12068,737093.3948870326,29271.627232458548,30815.575821765884,25845.787399016324,22366.075232338953
12072,737093.6120011826,29271.627232458548,30815.575821765884,25845.787399016324,22366.075232338953
12077,737094.007759267,29271.627232458548,30815.575821765884,25845.787399016324,22366.075232338953
12099,737095.0481334833,29271.627232458548,30815.575821765884,25845.787399016324,22366.075232338953
12205,737096.1501640591,35715.7521493376,35715.7521493376,35715.7521493376,28206.352055109426
12362,737099.6905012432,35715.7521493376,35715.7521493376,35715.7521493376,28206.352055109426
12365,737099.7447056898,36040.89984574155,35783.584599220136,36040.89984574155,30002.453687120596
12557,737102.8772803501,38562.54414344938,36633.24148932115,28693.92277579368,31100.08040276135
12612,737104.7412440984,38562.54414344938,36633.24148932115,28693.92277579368,31100.08040276135
12653,737105.9869556539,34885.634588985566,35547.57081862176,28296.87505597946,30152.126968022345
12654,737106.0096334385,34885.634588985566,35547.57081862176,28296.87505597946,30152.126968022345
12666,737106.4494607385,34885.634588985566,35547.57081862176,28296.87505597946,30152.126968022345
12678,737106.9150657436,34885.634588985566,35547.57081862176,28296.87505597946,30152.126968022345
12748,737109.8520221935,34177.05807386594,36154.517673417104,36468.75170836821,30963.206917048556
12769,737110.5481733726,32519.070591566942,33905.253438160864,32519.070591566942,30993.68951474364
12775,737110.6386772041,32519.070591566942,33905.253438160864,32519.070591566942,30993.68951474364
12777,737110.6653494668,39078.888705163,28879.76606708465,36252.34738444794,29212.140374167833
12787,737111.0010989362,32967.91890214467,29916.69862407457,32656.27787921492,29849.301837655938
12806,737111.3841362236,32967.91890214467,29916.69862407457,32656.27787921492,29849.301837655938
12841,737112.3086253428,32967.91890214467,29916.69862407457,32656.27787921492,29849.301837655938
12843,737112.3346285007,32967.91890214467,29916.69862407457,32656.27787921492,29849.301837655938
12876,737114.0189541681,32260.640777046647,30292.33770180105,32274.13280338248,25397.48309184513
12930,737116.0708827486,32373.863366996044,32476.72622516032,33995.39685696935,35544.47203400253
12931,737116.1391692058,28256.16608474202,30993.743298699104,28578.23459030532,25887.668514951252
12951,737117.1760580325,28256.16608474202,30993.743298699104,28578.23459030532,25887.668514951252
12977,737118.5173667378,28408.63762464778,30256.500436059585,28408.63762464778,28082.586538664145
12991,737119.3114870611,28408.63762464778,30256.500436059585,28408.63762464778,28082.586538664145
13002,737120.0736749992,29354.471718962315,29103.720510545467,29263.016461183684,27533.321704275717
