Index,Time[d.s],trp_T(15)_S(17)_EvLim(20),trr_T(15)_S(17)_EvLim(20),pfo_T(15)_S(17)_EvLim(20),pma_T(15)_S(17)_EvLim(20),paf_T(15)_S(17)_EvLim(20),num_T(15)_S(17)_EvLim(20),mem_T(15)_S(17)_EvLim(20),len_T(15)_S(17)_EvLim(20),siz_T(15)_S(17)_EvLim(20),rad_T(15)_S(17)_EvLim(20),dim_T(15)_S(17)_EvLim(20),den_T(15)_S(17)_EvLim(20),cer_T(15)_S(17)_EvLim(20),enum_T(15)_S(17)_EvLim(20),trp_T(15)_S(33)_EvLim(20),trr_T(15)_S(33)_EvLim(20),pfo_T(15)_S(33)_EvLim(20),pma_T(15)_S(33)_EvLim(20),paf_T(15)_S(33)_EvLim(20),num_T(15)_S(33)_EvLim(20),mem_T(15)_S(33)_EvLim(20),len_T(15)_S(33)_EvLim(20),siz_T(15)_S(33)_EvLim(20),rad_T(15)_S(33)_EvLim(20),dim_T(15)_S(33)_EvLim(20),den_T(15)_S(33)_EvLim(20),cer_T(15)_S(33)_EvLim(20),enum_T(15)_S(33)_EvLim(20),trp_T(30)_S(17)_EvLim(20),trr_T(30)_S(17)_EvLim(20),pfo_T(30)_S(17)_EvLim(20),pma_T(30)_S(17)_EvLim(20),paf_T(30)_S(17)_EvLim(20),num_T(30)_S(17)_EvLim(20),mem_T(30)_S(17)_EvLim(20),len_T(30)_S(17)_EvLim(20),siz_T(30)_S(17)_EvLim(20),rad_T(30)_S(17)_EvLim(20),dim_T(30)_S(17)_EvLim(20),den_T(30)_S(17)_EvLim(20),cer_T(30)_S(17)_EvLim(20),enum_T(30)_S(17)_EvLim(20),trp_T(30)_S(33)_EvLim(20),trr_T(30)_S(33)_EvLim(20),pfo_T(30)_S(33)_EvLim(20),pma_T(30)_S(33)_EvLim(20),paf_T(30)_S(33)_EvLim(20),num_T(30)_S(33)_EvLim(20),mem_T(30)_S(33)_EvLim(20),len_T(30)_S(33)_EvLim(20),siz_T(30)_S(33)_EvLim(20),rad_T(30)_S(33)_EvLim(20),dim_T(30)_S(33)_EvLim(20),den_T(30)_S(33)_EvLim(20),cer_T(30)_S(33)_EvLim(20),enum_T(30)_S(33)_EvLim(20)
10100,737009.3396402573,0.3185097922137704,-1.9155547788269855,0.45,0.05,0.5,1,20.0,26.41098777274601,83431.38399000792,6.0,11.0,0.1,95.0,20,0.654954240772387,-2.019667308896983,0.25,0.05,0.7,1,20.0,23.88405148196034,83365.08444556479,4.0,8.0,0.1,95.0,20,0.8870576905562245,-1.635123162196887,0.85,0.05,0.1,1,20.0,46.00670135393739,107404.59996495357,6.0,11.0,0.1,95.0,20,0.25786566414208,-1.6538839202248878,0.9,0.05,0.05,1,20.0,26.41098777274601,63246.81484198968,5.0,10.0,0.1,95.0,20
10110,737009.5695132432,0.3185097922137704,-1.9155547788269855,0.45,0.05,0.5,1,20.0,26.41098777274601,83431.38399000792,6.0,11.0,0.1,95.0,20,0.654954240772387,-2.019667308896983,0.25,0.05,0.7,1,20.0,23.88405148196034,83365.08444556479,4.0,8.0,0.1,95.0,20,0.8870576905562245,-1.635123162196887,0.85,0.05,0.1,1,20.0,46.00670135393739,107404.59996495357,6.0,11.0,0.1,95.0,20,0.25786566414208,-1.6538839202248878,0.9,0.05,0.05,1,20.0,26.41098777274601,63246.81484198968,5.0,10.0,0.1,95.0,20
10167,737012.0585946633,0.046578567461100596,-1.1526146713432806,0.05,0.05,0.9,1,20.0,35.901185852475464,77405.66660833944,5.0,9.0,0.1,95.0,20,0.046578567461100596,-1.1526146713432806,0.05,0.05,0.9,1,20.0,35.901185852475464,77405.66660833944,5.0,9.0,0.1,95.0,20,0.8743421165290278,-1.9486618353548424,0.55,0.05,0.4,1,20.0,51.424380296841264,96065.90394497075,6.0,11.0,0.1,95.0,20,0.7914383630165595,-1.9729986585917907,0.5,0.05,0.45,1,20.0,49.46872811077628,96065.90394497075,5.0,9.0,0.1,95.0,20
10177,737012.4424060729,0.12154574012575586,-1.2203053044226362,0.0,0.05,0.95,1,20.0,33.67603395215701,77075.31854318464,4.0,8.0,0.1,95.0,20,0.12154574012575586,-1.2203053044226362,0.0,0.05,0.95,1,20.0,33.67603395215701,77075.31854318464,4.0,8.0,0.1,95.0,20,0.9361575491011919,-2.135644497132466,0.45,0.05,0.5,1,20.0,42.331812161486596,83431.38398655417,5.0,9.0,0.1,95.0,20,0.6907641691625342,-1.9664331217532698,0.25,0.05,0.7,1,20.0,39.804875870700926,83365.08444556479,4.0,8.0,0.1,95.0,20
10186,737013.0466165999,0.47219949572437353,-1.4130882414012387,0.75,0.05,0.2,1,20.0,33.38846014090814,84857.95479349996,5.0,10.0,0.1,95.0,20,0.14743114655698883,-1.3182436096612826,0.0,0.05,0.95,1,20.0,34.280244479188696,84857.95479349996,4.0,8.0,0.1,95.0,20,0.47219949572437353,-1.4130882414012387,0.75,0.05,0.2,1,20.0,33.38846014090814,84857.95479349996,5.0,10.0,0.1,95.0,20,0.7692346085398108,-2.015162615461551,0.45,0.05,0.5,1,20.0,42.93602268851828,96253.64722271176,5.0,9.0,0.1,95.0,20
10187,737013.2112979315,0.3623578708844378,-1.3141835981104155,0.95,0.05,0.0,1,20.0,33.553141472511925,77075.31854318464,5.0,9.0,0.1,95.0,20,0.3623578708844378,-1.3141835981104155,0.95,0.05,0.0,1,20.0,33.553141472511925,77075.31854318464,5.0,9.0,0.1,95.0,20,1.0008356668030332,-2.189921764333066,0.95,0.05,0.0,1,20.0,42.788652098039165,83431.38398655417,5.0,9.0,0.1,95.0,20,0.5330706327296623,-1.7879379773311808,0.95,0.05,0.0,1,20.0,40.08595852961298,73358.42053995244,5.0,9.0,0.1,95.0,20
10189,737013.336869225,0.12018025171155013,-1.250718164100303,0.9,0.05,0.05,1,20.0,33.47202319500502,75076.60772594404,7.0,13.0,0.1,95.0,20,0.12018025171155013,-1.250718164100303,0.9,0.05,0.05,1,20.0,33.47202319500502,75076.60772594404,7.0,13.0,0.1,95.0,20,0.7905679911739077,-2.2192381318167085,0.9,0.05,0.05,1,20.0,42.13025525712874,83431.38398655417,5.0,10.0,0.1,95.0,20,0.2566353431431766,-1.631960483043061,0.9,0.05,0.05,1,20.0,39.34580311039463,69950.30040891099,5.0,10.0,0.1,95.0,20
10191,737013.3726677924,-0.00299238129218447,-1.196569447987918,0.85,0.05,0.1,1,20.0,33.27139928925317,75076.60772594404,6.0,12.0,0.1,95.0,20,-0.00299238129218447,-1.196569447987918,0.85,0.05,0.1,1,20.0,33.27139928925317,75076.60772594404,6.0,12.0,0.1,95.0,20,0.4120658188225673,-2.205835863992013,0.85,0.05,0.1,1,20.0,40.735618953011,83431.38398655417,5.0,9.0,0.1,95.0,20,-0.018791358419559052,-1.521019240140107,0.85,0.05,0.1,1,20.0,39.088709952891804,69950.30040891099,5.0,10.0,0.1,95.0,20
10193,737013.3928906093,-0.2859831264598767,-1.3632818709717751,0.8,0.05,0.15,1,20.0,30.39713428216055,75076.60772594404,6.0,11.0,0.1,95.0,20,-0.2859831264598767,-1.3632818709717751,0.8,0.05,0.15,1,20.0,30.39713428216055,75076.60772594404,6.0,11.0,0.1,95.0,20,0.45973097345420383,-2.082769010863383,0.8,0.05,0.15,1,20.0,40.7553604071727,83365.0844421083,4.0,8.0,0.1,95.0,20,-0.41212747282439915,-1.3812187068467885,0.8,0.05,0.15,1,20.0,37.23548179853242,69950.30040891099,5.0,10.0,0.1,95.0,20
10194,737013.4036319586,-0.2859831264598767,-1.3632818709717751,0.8,0.05,0.15,1,20.0,30.39713428216055,75076.60772594404,6.0,11.0,0.1,95.0,20,-0.2859831264598767,-1.3632818709717751,0.8,0.05,0.15,1,20.0,30.39713428216055,75076.60772594404,6.0,11.0,0.1,95.0,20,0.45973097345420383,-2.082769010863383,0.8,0.05,0.15,1,20.0,40.7553604071727,83365.0844421083,4.0,8.0,0.1,95.0,20,-0.41212747282439915,-1.3812187068467885,0.8,0.05,0.15,1,20.0,37.23548179853242,69950.30040891099,5.0,10.0,0.1,95.0,20
10195,737013.4087289849,-0.6193142195793858,-1.394410075103215,0.75,0.05,0.2,1,20.0,26.910739051527344,74639.94239364941,6.0,12.0,0.1,95.0,20,-0.6193142195793858,-1.394410075103215,0.75,0.05,0.2,1,20.0,26.910739051527344,74639.94239364941,6.0,12.0,0.1,95.0,20,-0.05557445280413572,-1.7667835161953007,0.75,0.05,0.2,1,20.0,40.28338958299719,67296.33291805508,5.0,9.0,0.1,95.0,20,-0.778728408393914,-1.3104526516279744,0.75,0.05,0.2,1,20.0,34.64235686417669,69584.56748984562,6.0,11.0,0.1,95.0,20
10198,737013.5521895352,-0.750442810277904,-1.3470526662931688,0.7,0.05,0.25,1,20.0,26.964265067945234,74639.94239364941,5.0,10.0,0.1,95.0,20,-0.750442810277904,-1.3470526662931688,0.7,0.05,0.25,1,20.0,26.964265067945234,74639.94239364941,5.0,10.0,0.1,95.0,20,-0.34768840232645704,-1.5494720002284759,0.7,0.05,0.25,1,20.0,39.56112342060078,63974.79601783882,5.0,9.0,0.1,95.0,20,-0.9483358559953498,-1.1456106978713876,0.7,0.05,0.25,1,20.0,33.89403307624161,61296.85773294483,6.0,11.0,0.1,95.0,20
10199,737013.598983059,-1.0684113500976373,-1.1038650750039287,0.65,0.05,0.3,1,20.0,25.780413390835747,74639.94239364941,5.0,10.0,0.1,95.0,20,-1.0684113500976373,-1.1038650750039287,0.65,0.05,0.3,1,20.0,25.780413390835747,74639.94239364941,5.0,10.0,0.1,95.0,20,-0.5982535491088137,-1.3610879513854177,0.65,0.05,0.3,1,20.0,39.315025219577365,63974.79601783882,5.0,9.0,0.1,95.0,20,-1.2427417564718375,-0.9161460895663136,0.65,0.05,0.3,1,20.0,33.73413702903781,59882.66213026753,6.0,12.0,0.1,95.0,20
10200,737013.604165442,-1.048435935440126,-1.4355777043722924,0.6,0.05,0.35,1,20.0,23.469970233389176,94098.52612836023,6.0,12.0,0.1,95.0,20,-1.102867817285811,-1.3973314599036193,0.6,0.05,0.35,1,20.0,24.71736245637294,85827.17006401524,6.0,11.0,0.1,95.0,20,0.2616495648594425,-1.4768437640647658,0.2,0.05,0.75,1,20.0,40.478826040169224,81707.85284886701,6.0,11.0,0.1,95.0,20,-1.274570467099182,-1.319152661089347,0.6,0.05,0.35,1,20.0,27.10617550869938,78805.17776662516,6.0,12.0,0.1,95.0,20
10202,737013.6755874564,-1.048435935440126,-1.4355777043722924,0.6,0.05,0.35,1,20.0,23.469970233389176,94098.52612836023,6.0,12.0,0.1,95.0,20,-1.102867817285811,-1.3973314599036193,0.6,0.05,0.35,1,20.0,24.71736245637294,85827.17006401524,6.0,11.0,0.1,95.0,20,0.2616495648594425,-1.4768437640647658,0.2,0.05,0.75,1,20.0,40.478826040169224,81707.85284886701,6.0,11.0,0.1,95.0,20,-1.274570467099182,-1.319152661089347,0.6,0.05,0.35,1,20.0,27.10617550869938,78805.17776662516,6.0,12.0,0.1,95.0,20
10209,737013.8631689118,-1.048435935440126,-1.4355777043722924,0.6,0.05,0.35,1,20.0,23.469970233389176,94098.52612836023,6.0,12.0,0.1,95.0,20,-1.102867817285811,-1.3973314599036193,0.6,0.05,0.35,1,20.0,24.71736245637294,85827.17006401524,6.0,11.0,0.1,95.0,20,0.2616495648594425,-1.4768437640647658,0.2,0.05,0.75,1,20.0,40.478826040169224,81707.85284886701,6.0,11.0,0.1,95.0,20,-1.274570467099182,-1.319152661089347,0.6,0.05,0.35,1,20.0,27.10617550869938,78805.17776662516,6.0,12.0,0.1,95.0,20
10229,737014.540670835,-1.048435935440126,-1.4355777043722924,0.6,0.05,0.35,1,20.0,23.469970233389176,94098.52612836023,6.0,12.0,0.1,95.0,20,-1.102867817285811,-1.3973314599036193,0.6,0.05,0.35,1,20.0,24.71736245637294,85827.17006401524,6.0,11.0,0.1,95.0,20,0.2616495648594425,-1.4768437640647658,0.2,0.05,0.75,1,20.0,40.478826040169224,81707.85284886701,6.0,11.0,0.1,95.0,20,-1.274570467099182,-1.319152661089347,0.6,0.05,0.35,1,20.0,27.10617550869938,78805.17776662516,6.0,12.0,0.1,95.0,20
