Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
54203,737883.988183291,5.647699457345915,5.491963183359968,5.278212702683716,5.352322136502546
54204,737884.0077490616,5.647699457345915,5.491963183359968,5.278212702683716,5.352322136502546
54205,737884.0116878542,5.647699457345915,5.491963183359968,5.278212702683716,5.352322136502546
54208,737884.0873727121,5.647699457345915,5.491963183359968,5.278212702683716,5.352322136502546
54218,737884.2457196721,5.666807885446951,5.526748983059868,5.276608062167594,5.366283149436863
54237,737884.6594671924,5.666807885446951,5.526748983059868,5.276608062167594,5.366283149436863
54240,737884.720869733,5.667043800000429,5.526489101326169,5.276928375030924,5.3744913412290956
54259,737885.3419357435,5.141303294069432,5.110941177135425,4.236245403005615,4.247447941234948
54274,737885.7462473914,5.5446788434989225,5.54641495939723,5.406044818952196,5.362912119779977
54284,737885.9094147674,5.546028363123642,5.546865447694366,5.417176699694703,5.3627088400171266
54303,737886.3325182439,5.510626129850799,5.5084071268880646,5.292554616461948,5.351583083822089
54355,737886.9867273552,5.51481820563939,5.5410332351347185,5.292836801987511,5.363485839026728
54363,737887.0854949744,5.565412485512557,5.544667558366932,5.417308715172656,5.366008683688472
54364,737887.08734342,5.605320664565513,5.545801464292762,5.299968393652482,5.366785362221831
54429,737888.3070901269,6.173676086120472,6.1138269705167625,5.847438539355649,5.8199311642352125
54442,737888.417390763,6.174094039024435,6.1142445126391145,5.84731768313514,5.820304002764211
54454,737888.8298969114,6.1601070995163765,6.107668431317546,5.839584659269917,5.8047584821239155
54455,737888.8400498731,6.1601070995163765,6.107668431317546,5.839584659269917,5.8047584821239155
54457,737888.867767931,6.160236151765325,6.107797356834061,5.84084568980175,5.8171854161028245
54462,737888.9575510388,6.160236151765325,6.107797356834061,5.84084568980175,5.8171854161028245
54463,737888.9805585138,6.163899415053034,6.1114570383548745,5.845267034794751,5.820456354373558
54465,737888.9817043004,6.157669383353751,6.109747366213361,5.839328459391371,5.820169184133433
54467,737889.000628683,6.157821332277823,6.1098991673097185,5.838863869508034,5.80824284151808
54480,737889.4802965333,6.157821332277823,6.1098991673097185,5.838863869508034,5.80824284151808
54484,737889.5654925304,5.142470476949632,5.084764536225361,4.85285852468709,4.83373323619713
54494,737889.7421541996,6.158347783822915,6.110425107081316,5.840276969521401,5.820775292933615
54510,737890.0752498226,6.1584943460049875,6.1105715268977745,5.875390088795892,5.820906250414412
54521,737890.3538381926,6.156501860540215,6.110422195790132,5.8372437367761005,5.8092149530450525
54527,737890.7768785486,6.1567392548925515,6.110659359837894,5.874340187558795,5.821439692847068
54534,737891.1191760218,6.1567392548925515,6.110659359837894,5.874340187558795,5.821439692847068
54551,737891.7014779265,6.15688556641628,6.1108055294823185,5.839176980264307,5.821570450167523
54556,737891.9279831336,6.156733544616782,6.11087083294504,5.874559338361136,5.821656819079773
54560,737892.0358132707,6.156733544616782,6.11087083294504,5.874559338361136,5.821656819079773
54578,737892.3977238463,5.420036305534518,6.078627729160655,4.85210477682187,5.758370795449503
54611,737893.3991047442,6.15731540364523,6.111539036949773,5.839152253838206,5.8222546398217645
54631,737893.6805444749,5.472069106475795,5.454729382298661,5.171039110811813,4.833885659193721
54637,737893.8961971576,5.472069106475795,5.454729382298661,5.171039110811813,4.833885659193721
