Index,Time[d.s],C-r(6)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(17)_EvLim(20),C-r(17)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(33)_EvLim(20),C-r(22)_T(15)_S(33)_EvLim(20),C-r(33)_T(15)_S(33)_EvLim(20),C-r(6)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(17)_EvLim(20),C-r(17)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(33)_EvLim(20),C-r(22)_T(30)_S(33)_EvLim(20),C-r(33)_T(30)_S(33)_EvLim(20)
76402,738518.0860337957,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76404,738518.1132539163,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76407,738518.1572609696,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76411,738518.1796793443,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76412,738518.1840407891,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76413,738518.2003490913,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76414,738518.2110005682,0.9517526322804212,0.9517526322804212,0.9922697587631614,0.8666424418604651,0.9778343023255814,0.9986676356589147,0.8873944322802627,0.8885413408403712,0.9724741945573976,0.7849788564074278,0.9385916528773671,0.9952197095054238
76416,738518.2312258801,0.9677462348393976,0.9677462348393976,0.9964014394242303,0.8676207513416816,0.9779367918902803,0.9986881335718545,0.9547816473189608,0.9559977888336098,0.9953565505804312,0.7863232359876655,0.9389624523852712,0.9952838744785053
76417,738518.2467742366,0.9677462348393976,0.9677462348393976,0.9964014394242303,0.8676207513416816,0.9779367918902803,0.9986881335718545,0.9547816473189608,0.9559977888336098,0.9953565505804312,0.7863232359876655,0.9389624523852712,0.9952838744785053
76418,738518.2539561939,0.9677462348393976,0.9677462348393976,0.9964014394242303,0.8676207513416816,0.9779367918902803,0.9986881335718545,0.9547816473189608,0.9559977888336098,0.9953565505804312,0.7863232359876655,0.9389624523852712,0.9952838744785053
76421,738518.3266026635,0.9677462348393976,0.9677462348393976,0.9964014394242303,0.8676207513416816,0.9779367918902803,0.9986881335718545,0.9547816473189608,0.9559977888336098,0.9953565505804312,0.7863232359876655,0.9389624523852712,0.9952838744785053
76422,738518.3312200205,0.9677462348393976,0.9677462348393976,0.9964014394242303,0.8676207513416816,0.9779367918902803,0.9986881335718545,0.9547816473189608,0.9559977888336098,0.9953565505804312,0.7863232359876655,0.9389624523852712,0.9952838744785053
76423,738518.3332539842,0.21578947368421053,0.33157894736842103,0.4263157894736842,0.8162155910247513,0.8453620171177423,0.8644459865833911,0.19473684210526315,0.35789473684210527,0.5473684210526316,0.7177658942364825,0.8017995076818606,0.855869620575503
76424,738518.3459618153,0.9678730658274325,0.9678730658274325,0.9955415683189089,0.8426748689906585,0.94896331738437,0.9856459330143541,0.9016443987667009,0.9027749229188078,0.9759506680369989,0.7674276751481353,0.9156500522830254,0.9844893691181597
76434,738518.4489333403,0.9528888888888889,0.9528888888888889,0.9923809523809524,0.8564593301435407,0.9635452267031215,0.9977215766689451,0.9151079136690647,0.9162384378211716,0.9878725590955807,0.7787556639944232,0.9278494248867201,0.9946845590798188
76436,738518.4675078938,0.9528888888888889,0.9528888888888889,0.9923809523809524,0.8564593301435407,0.9635452267031215,0.9977215766689451,0.9151079136690647,0.9162384378211716,0.9878725590955807,0.7787556639944232,0.9278494248867201,0.9946845590798188
76437,738518.468170696,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76438,738518.4728546976,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76439,738518.4863936536,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76440,738518.4890119506,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76441,738518.4992919335,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76447,738518.595812847,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76449,738518.6644175958,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76453,738518.6914487819,0.9685079365079365,0.9685079365079365,0.9964444444444445,0.8574795196947593,0.9638648860958366,0.997755582987319,0.9156028368794327,0.9167173252279636,0.9874366767983789,0.7800997592019264,0.9283625730994152,0.9947540419676643
76460,738518.7771068496,0.9687539057617798,0.9687539057617798,0.9965004374453194,0.8713949051733813,0.9786780383795309,0.9984289080911233,0.9291793313069909,0.9302938196555218,0.9921985815602837,0.7814277226041932,0.9288685171038112,0.9948221712927595
76462,738518.7956646495,0.9687539057617798,0.9687539057617798,0.9965004374453194,0.8713949051733813,0.9786780383795309,0.9984289080911233,0.9291793313069909,0.9302938196555218,0.9921985815602837,0.7814277226041932,0.9288685171038112,0.9948221712927595
76468,738518.9496269376,0.984251968503937,0.984251968503937,0.9960004999375078,0.8595860566448802,0.9642701525054467,0.9867102396514161,0.9170688466463114,0.9181522702649463,0.9772481040086674,0.7729528535980149,0.9176178660049628,0.9850289495450786
76469,738518.9669926831,0.984251968503937,0.984251968503937,0.9960004999375078,0.8595860566448802,0.9642701525054467,0.9867102396514161,0.9170688466463114,0.9181522702649463,0.9772481040086674,0.7729528535980149,0.9176178660049628,0.9850289495450786
76473,738519.096827487,0.984251968503937,0.984251968503937,0.9960004999375078,0.8595860566448802,0.9642701525054467,0.9867102396514161,0.9170688466463114,0.9181522702649463,0.9772481040086674,0.7729528535980149,0.9176178660049628,0.9850289495450786
76474,738519.1347319374,0.984251968503937,0.984251968503937,0.9960004999375078,0.8595860566448802,0.9642701525054467,0.9867102396514161,0.9170688466463114,0.9181522702649463,0.9772481040086674,0.7729528535980149,0.9176178660049628,0.9850289495450786
76476,738519.2331747595,0.984375,0.984375,0.999507874015748,0.873202614379085,0.9785403050108933,0.998474945533769,0.9431654676258993,0.9437821171634121,0.9833504624871532,0.7814277226041932,0.9289533995416348,0.9948221712927595
76477,738519.3032896857,0.9844961240310077,0.9844961240310077,0.999515503875969,0.8740875912408759,0.9786389008158007,0.9984972091026192,0.9435663627152989,0.9441742654508612,0.9835866261398176,0.7827398408043569,0.9293674067867617,0.9948889819857561
76487,738519.4056206753,0.9844961240310077,0.9844961240310077,0.999515503875969,0.8740875912408759,0.9786389008158007,0.9984972091026192,0.9435663627152989,0.9441742654508612,0.9835866261398176,0.7827398408043569,0.9293674067867617,0.9948889819857561
76496,738519.5738047194,0.9844961240310077,0.9844961240310077,0.999515503875969,0.8740875912408759,0.9786389008158007,0.9984972091026192,0.9435663627152989,0.9441742654508612,0.9835866261398176,0.7827398408043569,0.9293674067867617,0.9948889819857561
76500,738519.6582884185,0.2,0.20526315789473684,0.3263157894736842,0.8155029467585656,0.8558585555888523,0.8739386674657876,0.18421052631578946,0.22105263157894736,0.43157894736842106,0.7200368069933287,0.8112874779541446,0.86281726861437
76501,738519.658707728,0.2,0.20526315789473684,0.3263157894736842,0.8155029467585656,0.8558585555888523,0.8739386674657876,0.18421052631578946,0.22105263157894736,0.43157894736842106,0.7200368069933287,0.8112874779541446,0.86281726861437
76503,738519.7213622957,0.2,0.20526315789473684,0.3263157894736842,0.8155029467585656,0.8558585555888523,0.8739386674657876,0.18421052631578946,0.22105263157894736,0.43157894736842106,0.7200368069933287,0.8112874779541446,0.86281726861437
76506,738519.8248014539,0.9697005284791544,0.9697005284791544,0.9962419260129184,0.8623709727869878,0.978313001772495,0.9979147117088938,0.9572441742654508,0.9578520770010132,0.9954407294832827,0.7742936469051118,0.9298546464151559,0.9944471664216887
76507,738519.8376059062,0.9697005284791544,0.9697005284791544,0.9962419260129184,0.8623709727869878,0.978313001772495,0.9979147117088938,0.9572441742654508,0.9578520770010132,0.9954407294832827,0.7742936469051118,0.9298546464151559,0.9944471664216887
76509,738519.8783891986,0.9697005284791544,0.9697005284791544,0.9962419260129184,0.8623709727869878,0.978313001772495,0.9979147117088938,0.9572441742654508,0.9578520770010132,0.9954407294832827,0.7742936469051118,0.9298546464151559,0.9944471664216887
