Index,Time[d.s],logM_T(15)_S(17)_EvLim(20),logM_T(15)_S(33)_EvLim(20),logM_T(30)_S(17)_EvLim(20),logM_T(30)_S(33)_EvLim(20)
85758,736433.7673682701,1.219699518907534,1.2247665809708574,0.5919282131419619,0.6124251714104366
85775,736433.9940583762,1.219699518907534,1.2247665809708574,0.5919282131419619,0.6124251714104366
85796,736434.2966482104,1.219699518907534,1.2247665809708574,0.5919282131419619,0.6124251714104366
85856,736435.3743735303,1.2248534324911065,1.2191879257076077,0.6123906826756509,0.6123322265326829
85875,736435.8750407825,1.21988085838107,1.1515746753083493,0.592202075565577,0.5924277672644375
85950,736437.418688408,1.21988085838107,1.1515746753083493,0.592202075565577,0.5924277672644375
85972,736437.9878239571,1.21988085838107,1.1515746753083493,0.592202075565577,0.5924277672644375
85999,736438.4781176616,1.21988085838107,1.1515746753083493,0.592202075565577,0.5924277672644375
86086,736440.1748110827,1.2202198256752872,1.2201419391747488,0.5928721788629842,0.6100109665943317
86140,736441.047356516,1.2202198256752872,1.2201419391747488,0.5928721788629842,0.6100109665943317
86205,736442.7546663126,1.2202198256752872,1.2201419391747488,0.5928721788629842,0.6100109665943317
86310,736445.4466078234,1.2199205382824656,1.2198509024767807,0.5921468072811197,0.5927552509327737
86411,736446.7019615702,1.2199205382824656,1.2198509024767807,0.5921468072811197,0.5927552509327737
86461,736447.4914611196,1.2200653132319854,1.2200732579237843,0.5931975822748699,0.5779754658168891
86503,736448.3912684021,1.2201495107909481,1.2199167473858232,0.6098799958211166,0.5921450886125899
86505,736448.3931699167,1.2203323096103977,1.2202212694496415,0.6100197309177707,0.5923126822580055
86577,736449.8439159422,1.2200009924243875,1.2200009924243875,0.5778933928984399,0.6100216370780104
86587,736450.1064885663,1.2200009924243875,1.2200009924243875,0.5778933928984399,0.6100216370780104
86690,736452.1868877016,1.2200340244346985,1.220001411529909,0.5779033823111,0.5768860765405744
86722,736452.748121311,1.2203658425913924,1.2199461226687105,0.6098948480455769,0.6099333054251753
86735,736453.0113888994,1.2203658425913924,1.2199461226687105,0.6098948480455769,0.6099333054251753
86737,736453.0416733748,1.2203658425913924,1.2199461226687105,0.6098948480455769,0.6099333054251753
86835,736454.6887224431,1.2203658425913924,1.2199461226687105,0.6098948480455769,0.6099333054251753
86858,736455.3413526501,1.2203658425913924,1.2199461226687105,0.6098948480455769,0.6099333054251753
86872,736455.5298389825,1.2204003713897238,1.2204003713897238,0.6102001856948619,0.6098295466696037
86903,736456.0070090202,1.2204003713897238,1.2204003713897238,0.6102001856948619,0.6098295466696037
86936,736456.8171144929,1.2199848693585007,1.220019989098814,0.6099951034313479,0.6099430990345825
86981,736457.6590609616,1.2199848693585007,1.220019989098814,0.6099951034313479,0.6099430990345825
87010,736458.4040822939,1.2200249376556969,1.220019989098814,0.6099265020755048,0.6099754772591353
87025,736458.8119854907,1.2200249376556969,1.220019989098814,0.6099265020755048,0.6099754772591353
87072,736459.9835299482,1.2200249376556969,1.220019989098814,0.6099265020755048,0.6099754772591353
87102,736460.8914842231,1.2200249376556969,1.220019989098814,0.6099265020755048,0.6099754772591353
87340,736467.058445922,1.2200249376556969,1.220019989098814,0.6099265020755048,0.6099754772591353
87357,736467.5327648005,1.1573254414130714,1.2204201539303023,0.6100726027930142,0.6103159116849931
87376,736468.1047825807,1.1573254414130714,1.2204201539303023,0.6100726027930142,0.6103159116849931
87380,736468.1982527536,1.1561118465349374,1.1561118465349374,0.6101671324715148,0.6101267603861625
87445,736470.3820840215,1.1561118465349374,1.1561118465349374,0.6101671324715148,0.6101267603861625
87461,736470.8697845849,1.1550171041640833,1.153700467393048,0.6100187482992238,0.6098712791631955
87550,736473.5567323213,1.1550171041640833,1.153700467393048,0.6100187482992238,0.6098712791631955
87554,736473.5975869038,1.1550171041640833,1.153700467393048,0.6100187482992238,0.6098712791631955
87568,736474.2223289666,1.1550171041640833,1.153700467393048,0.6100187482992238,0.6098712791631955
87614,736475.300525995,1.1519986754365539,1.1519986754365539,0.5759993377182769,0.5759993377182769
87681,736476.7510027162,1.1519986754365539,1.1519986754365539,0.5759993377182769,0.5759993377182769
87799,736480.8957777733,1.1633986016586018,1.1633986016586018,0.610713591086954,0.5809524801705194
87843,736482.8510954143,1.164705425276091,1.1538498215572583,0.5823527126380456,0.6101777853214277
87846,736482.8682994661,1.164705425276091,1.1538498215572583,0.5823527126380456,0.6101777853214277
87917,736484.3835923877,1.164705425276091,1.1538498215572583,0.5823527126380456,0.6101777853214277
87968,736485.9350469727,1.164705425276091,1.1538498215572583,0.5823527126380456,0.6101777853214277
87986,736486.1722589106,1.164705425276091,1.1538498215572583,0.5823527126380456,0.6101777853214277
87999,736486.4052327774,1.1655517266626243,1.1531709226190443,0.5768220910419323,0.5752396972447601
88091,736487.9738153875,1.1655517266626243,1.1531709226190443,0.5768220910419323,0.5752396972447601
88147,736489.2820873555,1.165491707420695,1.165491707420695,0.5784843878814389,0.5764863937834147
88160,736489.6877414532,1.165491707420695,1.165491707420695,0.5784843878814389,0.5764863937834147
88282,736493.9619593289,1.165491707420695,1.165491707420695,0.5784843878814389,0.5764863937834147
88304,736494.9470456415,1.2345322125665452,1.2345322125665452,0.6172661062832726,0.617284391112682
88326,736495.8790748728,1.2345322125665452,1.2345322125665452,0.6172661062832726,0.617284391112682
88336,736496.1550135624,1.2345322125665452,1.2345322125665452,0.6172661062832726,0.617284391112682
88351,736496.480736277,1.2345322125665452,1.2345322125665452,0.6172661062832726,0.617284391112682
88382,736497.6618780275,1.2345023224277398,1.165547724509122,0.6172511612138699,0.576718654108225
88390,736498.2192494282,1.2355953268146276,1.2355903468783465,0.58364648168817,0.6178714309063251
88399,736498.5724484586,1.235529834039685,1.2345169228425463,0.6177649170198425,0.617329668598518
88482,736501.3428934601,1.235529834039685,1.2345169228425463,0.6177649170198425,0.617329668598518
88536,736503.1056744078,1.235529834039685,1.2345169228425463,0.6177649170198425,0.617329668598518
88564,736503.882392948,1.235529834039685,1.2345169228425463,0.6177649170198425,0.617329668598518
88683,736509.0385553177,1.235529834039685,1.2345169228425463,0.6177649170198425,0.617329668598518
88719,736510.0396047777,1.2354877223826988,1.2354877223826988,0.6172549449278535,0.6177777719995039
88720,736510.0540690928,1.2354877223826988,1.2354877223826988,0.6172549449278535,0.6177777719995039
88729,736510.3829276747,1.2356825237773095,1.2356406337810077,0.5884412272038717,0.6178089039053247
88738,736510.7070188278,1.2356598764274884,1.2354842924468634,0.6178299382137442,0.6177518251894601
88749,736511.2657459968,1.235502274735171,1.2354956375135795,0.5874237905474513,0.6177241162671075
88774,736512.1397826882,1.2353218089557272,1.2355283571776816,0.6171371435905412,0.6177268307607056
88791,736512.9639626238,1.2353218089557272,1.2355283571776816,0.6171371435905412,0.6177268307607056
88818,736514.428647577,1.23544199966478,1.23544199966478,0.6177395973357048,0.6177125546664362
88819,736514.4292483274,1.2358798638806354,1.2358798638806354,0.6179528496566474,0.6179262027959318
88831,736514.7895584878,1.235919706882837,1.235919706882837,0.6179598534414185,0.5827177908712109
88835,736515.0352045733,1.235919706882837,1.235919706882837,0.6179598534414185,0.5827177908712109
88861,736515.9391275949,1.2359490248695602,1.2359385311675253,0.5880770843370142,0.6179160808541357
88891,736517.054936807,1.2358770020823242,1.235770285266111,0.6178484597537357,0.6179188998897838
88895,736517.130847869,1.2358770020823242,1.235770285266111,0.6178484597537357,0.6179188998897838
88898,736517.3837417592,1.2357027338815507,1.23577231877459,0.5877191126432574,0.6179160808541357
88908,736517.619385023,1.2358190424765032,1.235797850054684,0.5866694262972151,0.5880894138011767
88967,736520.0908094575,1.2350083874242506,1.2350083874242506,0.6172313313221244,0.6171742079677177
89009,736521.4639314775,1.2351977716371845,1.2359781155662992,0.6175988858185922,0.6179681025812961
89021,736521.8137933289,1.2349568814722962,1.2355440377044964,0.6174784407361481,0.6177720188522482
89026,736521.9533529107,1.2349568814722962,1.2355440377044964,0.6174784407361481,0.6177720188522482
89039,736522.5078261271,1.235324137353169,1.2353001240872887,0.6176620686765845,0.6170561050095879
89043,736522.7212418765,1.2349542921400236,1.235335139087677,0.6174771460700118,0.6176675695438385
