Index,Time[d.s],IEt_T(15)_S(17)_EvLim(20),IEt_T(15)_S(33)_EvLim(20),IEt_T(30)_S(17)_EvLim(20),IEt_T(30)_S(33)_EvLim(20)
67700,738351.7777771344,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67702,738351.7966216492,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67703,738351.8007396321,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67704,738351.8058889317,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67705,738351.8067067317,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67707,738351.8248636576,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67708,738351.8514704388,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67710,738351.8823499278,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67712,738351.9062939463,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67714,738351.941316759,11.128919759765267,6.06142563407775,11.128919759765267,6.06142563407775
67715,738351.9525883895,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67717,738352.0019887504,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67718,738352.0048980567,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67720,738352.0065100419,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67721,738352.0081384472,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67722,738352.01476766,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67723,738352.0174770546,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67724,738352.0211578339,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67725,738352.0228095228,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67727,738352.0297900413,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67728,738352.0332093249,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67730,738352.0391675059,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67731,738352.0532767969,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67734,738352.0854453905,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67735,738352.1177215027,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67736,738352.1820269949,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67753,738352.5341109025,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67754,738352.5387725246,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67755,738352.5406438572,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67756,738352.550922825,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67757,738352.5818619517,3.571081906557083,3.5311666334746405,6.943032779847272,4.963388213189319
67758,738352.5879678089,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67759,738352.5904670676,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67762,738352.6713252692,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67763,738352.6723278442,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67764,738352.6725241677,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67765,738352.6730890847,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67766,738352.6734198033,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67768,738352.6773731333,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67770,738352.6892769656,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67771,738352.6897358515,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67773,738352.6917162812,3.571081906557083,3.0138346053427085,6.224943258450367,4.963388213189319
67772,738352.6917269331,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
