Index,Time[d.s],logV_T(15)_S(17)_EvLim(20),logV_T(15)_S(33)_EvLim(20),logV_T(30)_S(17)_EvLim(20),logV_T(30)_S(33)_EvLim(20)
57698,738004.4663966576,9.63057632094799,9.660632031659887,9.63057632094799,9.783268097603674
57704,738004.547801519,9.63057632094799,9.660632031659887,9.63057632094799,9.783268097603674
57705,738004.5509704892,9.50532225075579,9.604025414381606,9.50532225075579,9.667173974743086
57727,738005.481762994,9.770559741526085,9.542217669513006,9.770559741526085,9.542217669513006
57728,738005.5043457695,9.770559741526085,9.542217669513006,9.770559741526085,9.542217669513006
57750,738006.4736800316,9.344042292125469,9.4654314996713,9.441502230607634,9.501832918548917
57781,738007.5260941056,9.344042292125469,9.317973819408872,9.459753253381075,9.374571647732507
57785,738007.6403903196,9.384636292961623,9.226092833882335,9.464449372882434,9.289918288511338
57786,738007.7318552291,9.486138374701765,9.38460636950552,9.534326293728578,9.40787100222743
57799,738008.2129654711,9.486138374701765,9.38460636950552,9.534326293728578,9.40787100222743
57820,738008.8667081884,9.486138374701765,9.592937686645124,9.429842417795278,9.40787100222743
57862,738010.0214530033,9.357091721031976,9.40822400912555,9.440479266371675,9.356127812670138
57879,738010.8528635202,9.537780180236988,9.46106126843921,9.460746383392234,9.357023574264538
57882,738010.9528819277,9.472635611834972,9.412223946917821,9.370881403552001,9.390336990325462
57925,738012.0498805922,9.472635611834972,9.412223946917821,9.370881403552001,9.390336990325462
57932,738012.2971139624,9.766203884129624,9.704849499405919,9.595363094174175,9.389673649646475
57949,738012.7762268025,9.478844453384855,9.484054350855708,9.294899185767541,9.55501735421171
57970,738013.624329775,9.485111832458438,9.388766488201359,9.340127626640111,9.409014147031462
57971,738013.6626408325,9.485111832458438,9.388766488201359,9.10359592044244,9.409014147031462
57972,738013.6946179427,9.47685641432076,9.368504713257378,9.058086971261574,9.409014147031462
57992,738014.8501169847,9.377895219013897,9.188550028006322,8.970369008994055,9.370638546888348
58011,738015.89665272,9.366334421715315,9.16069657098319,8.705702396998701,9.370638546888348
58015,738016.1087930893,9.34959314125501,8.9833992495637,8.705702396998701,9.370638546888348
58030,738016.7579654264,8.904707520199835,9.019070490392469,8.739011016177374,9.481130422477618
58076,738019.097416836,9.25713489048188,9.356915548301625,8.739011016177374,9.515673839855543
58082,738019.2788476455,9.677929982887045,9.656389537279205,9.43396568298083,9.42288007794302
58130,738022.0006738915,9.314533278294716,9.227657708960798,9.241345128957667,9.31499107840732
58131,738022.0075770182,9.314533278294716,9.227657708960798,9.241345128957667,9.31499107840732
58154,738022.8376580074,9.3215066961684,9.015517154674608,9.239201594712716,9.23842528227648
58155,738022.842107601,9.215473950453712,8.902066469995463,9.079748560351959,9.23842528227648
58156,738022.8426749848,9.20027833378323,8.520218386620327,8.486575030683221,9.23842528227648
58200,738025.2381078348,9.322470917563118,9.21832203934713,9.525493554193838,9.113950597667756
58210,738025.6144652048,8.734238767203065,8.65674977912048,8.434181355932218,9.38418536619906
58274,738028.1226320447,9.058199643477046,9.040738680324356,9.413490649792067,9.488447425763983
58283,738028.4570047086,9.058199643477046,9.040738680324356,9.413490649792067,9.488447425763983
58301,738029.0101803981,9.058199643477046,9.040738680324356,9.413490649792067,9.488447425763983
58307,738029.1189939484,9.058199643477046,9.040738680324356,9.413490649792067,9.488447425763983
58346,738030.39275643,9.058199643477046,9.040738680324356,9.413490649792067,9.488447425763983
58372,738031.6322623861,8.839543808538307,9.260368584605024,8.484325941268544,9.162865283616963
58385,738032.1015840374,8.907269467545404,9.058692801646268,8.713287630442766,9.202474820141926
58389,738032.140426981,8.907269467545404,9.058692801646268,8.713287630442766,9.202474820141926
58432,738034.1423670136,8.967620983094067,8.965258265289924,8.464689936537683,8.857100067532237
58477,738037.0096715352,8.79267583521037,8.885667187356946,8.326269052202155,8.809408679672254
58562,738040.4091379255,8.79267583521037,8.885667187356946,8.326269052202155,8.809408679672254
58571,738041.0190781032,8.79267583521037,8.885667187356946,8.326269052202155,8.809408679672254
58638,738044.1178562324,8.79267583521037,8.885667187356946,8.326269052202155,8.809408679672254
58651,738045.0710472466,8.964618960327636,8.964618960327636,8.874134848703179,8.36330133767521
58692,738047.0456498988,8.964618960327636,8.964618960327636,8.874134848703179,8.36330133767521
58694,738047.0561743771,8.994830495836261,8.994830495836261,9.354389072327677,8.669848942643148
58712,738047.8727432835,8.964618960327636,8.994830495836261,8.496459801025097,8.814948426786193
58721,738048.0691125304,9.179452773678019,9.179452773678019,9.179452773678019,9.284756525154444
58836,738053.9967665826,9.390431919066751,9.390431919066751,9.362418716980622,9.279524865241243
58840,738054.2278856965,9.624526734955529,9.624526734955529,9.624526734955529,9.624526734955529
58855,738054.443133849,9.624526734955529,9.467003525210568,9.285282809322483,9.467003525210568
58994,738061.694452174,9.719623762446869,9.195120618005063,9.719623762446869,9.195120618005063
59107,738065.3405567198,9.795353362925908,9.795353362925908,9.795353362925908,9.795353362925908
59185,738069.4011543716,9.838909656657677,9.838909656657677,9.041776304237747,9.041776304237747
59192,738069.721584967,9.840102904062563,9.70779117909905,9.047013454123354,9.248798882218322
59202,738070.0722080207,9.900197749263135,9.87746591691109,9.900197749263135,9.655515628179629
59203,738070.0819553315,9.900197749263135,9.87746591691109,9.900197749263135,9.655515628179629
59269,738072.7265250435,9.900197749263135,9.87746591691109,9.900197749263135,9.655515628179629
59376,738077.0874358434,9.840102904062563,9.840102904062563,9.047013454123354,9.062003980107724
59453,738080.6411796574,9.972694294798233,9.918978118173497,9.791939939735459,9.811624353252478
59457,738080.7658731136,9.920132962928596,9.985516529789624,9.920132962928596,9.985516529789624
59461,738081.1354991234,9.920132962928596,9.985516529789624,9.920132962928596,9.985516529789624
59634,738087.8658280248,10.077837729011963,10.077837729011963,10.077837729011963,9.893915869077349
59692,738090.9835380693,9.992410081777043,10.04655407423827,9.932663513804146,9.90589424394034
59761,738093.0033774951,10.093806579481106,10.077837729011963,10.093806579481106,10.077837729011963
59774,738093.547527751,10.093806579481106,10.077837729011963,10.093806579481106,10.077837729011963
59805,738095.0092286081,10.093806579481106,10.077837729011963,10.093806579481106,10.077837729011963
59806,738095.0147842501,10.093806579481106,10.058260271579346,9.872410659964492,10.011616519123011
59827,738096.0974359162,10.093806579481106,10.058260271579346,9.872410659964492,10.011616519123011
59911,738099.9238552253,10.1187305925731,10.1187305925731,10.1187305925731,10.1187305925731
59918,738100.1057859795,10.1187305925731,10.1187305925731,10.1187305925731,10.1187305925731
59935,738100.9296497857,10.1187305925731,10.1187305925731,10.1187305925731,10.1187305925731
59966,738102.2965459259,10.1187305925731,10.1187305925731,10.1187305925731,10.1187305925731
59972,738102.3745313383,10.127222909403526,10.127222909403526,10.127222909403526,9.912706927729019
60037,738104.0453863057,10.127222909403526,10.127222909403526,10.127222909403526,9.912706927729019
60038,738104.107054022,10.1187305925731,10.1187305925731,10.1187305925731,10.10366801831034
60079,738105.7176208086,10.1187305925731,10.1187305925731,10.1187305925731,9.91952747637425
60080,738105.7206083998,10.050627101278609,10.050627101278609,10.050627101278609,9.91952747637425
60094,738106.381919339,10.026263825025655,10.050627101278609,10.026263825025655,9.91952747637425
60159,738106.7115143612,10.026263825025655,10.050627101278609,10.026263825025655,9.91952747637425
60259,738108.6497745854,10.01809754324297,10.01809754324297,10.01809754324297,10.007513251362402
60287,738109.0049383069,10.01809754324297,10.01809754324297,10.01809754324297,10.007513251362402
60308,738109.6834821642,9.997110047054722,10.093806579481106,10.04655407423827,10.04655407423827
60309,738109.686480877,9.997110047054722,10.093806579481106,10.04655407423827,10.04655407423827
60313,738109.7709349114,10.093806579481106,9.98085089485907,10.093806579481106,9.928196901552578
60315,738109.8919716999,10.1187305925731,9.98085089485907,10.1187305925731,10.032954540296897
60378,738111.59287096,10.060504260151209,9.992426810968363,10.1187305925731,9.992426810968363
60450,738114.0060286473,10.060504260151209,9.992426810968363,10.1187305925731,9.992426810968363
60462,738114.3912765179,10.023839835650255,10.13104545836312,10.023839835650255,10.16823632321548
60504,738116.4067347059,10.003748466117623,9.922938815015888,10.060504260151209,9.90323362572144
60514,738116.9410024236,10.003748466117623,9.922938815015888,10.060504260151209,9.90323362572144
60532,738117.9144318488,10.003748466117623,9.922938815015888,10.060504260151209,9.90323362572144
60541,738118.1295110664,10.003748466117623,9.922938815015888,10.060504260151209,9.90323362572144
60567,738119.1110519913,9.88380300716736,9.852864820211144,9.9198396499866,9.847571777880033
60646,738122.0703299601,9.956370891607882,9.956370891607882,10.026263825025655,9.822614214310564
60833,738130.7669997038,9.957198475502448,9.84296083901151,9.88380300716736,9.810492303415005
60850,738131.4021736094,10.009458895856856,9.98043015477255,9.963558535058388,9.901527950849324
60878,738132.3437049035,9.836467593262967,9.723078448609572,9.932977280194436,9.818979243436049
60888,738132.5958609651,9.72017537738576,9.713572276455196,9.932977280194436,9.818979243436049
60897,738133.0964106577,9.744549427517631,9.744549427517631,9.992474324391079,9.482242739782553
60898,738133.123808355,9.580775926841739,9.580775926841739,9.992474324391079,9.65655070856022
60940,738133.7202109556,9.735097906756115,9.531582054382003,9.906941941643542,9.582514944983659
60945,738134.1963495996,9.735097906756115,9.531582054382003,9.906941941643542,9.582514944983659
60950,738134.3862784691,9.730186642497516,9.751286464220499,9.836430401845407,9.560173444603922
60971,738135.1658983617,9.522444335411825,9.367678776243741,9.641882035716156,9.632421812371371
60972,738135.168084717,9.786295940507662,9.474845317898732,9.90665395815589,9.503294552117012
61187,738144.9172307883,9.745997064421712,9.587452231404377,9.98043015477255,9.727950642278122
61194,738145.205566232,9.751286464220499,9.531177974421364,9.729255315916278,9.532534022482944
61249,738147.9811290419,9.515913799138998,9.508665593813586,9.515913799138998,9.528081223625438
61292,738150.811248841,9.358278702993656,9.358278702993656,9.711777491771063,9.414854690015343
61298,738150.9894062865,9.413034673002066,9.413034673002066,9.568440720551136,9.465200401640162
61300,738151.0640328442,9.413034673002066,9.413034673002066,9.568440720551136,9.465200401640162
61320,738151.8531493916,9.430080345296824,9.430080345296824,9.677495000249497,9.558876111606768
61375,738153.6226869953,9.413034673002066,9.413034673002066,9.527375191722612,9.409421069539242
61484,738160.5957819797,9.686283795408627,9.686283795408627,9.686283795408627,9.686283795408627
61556,738163.7517128048,9.424506620813272,9.424506620813272,9.48508428304559,9.424506620813272
61595,738165.912078272,9.417855644749682,9.417855644749682,9.292774088330493,9.31194200315872
61597,738165.9798395896,9.38265310857905,9.374686268790525,9.38265310857905,9.374686268790525
61659,738169.1712282114,9.692595117907889,9.68435822762763,9.445176315315509,9.461593038702858
61702,738171.9495042288,9.688761313027754,9.684894989387363,9.688761313027754,9.30042482863408
61705,738172.235132188,9.690273533535368,9.651675953182165,9.400809447388575,9.443900554883394
61707,738172.2607519688,9.684894989387363,9.648735052810423,9.290971201401566,9.557257345689381
61728,738173.0092832193,9.684894989387363,9.648735052810423,9.290971201401566,9.557257345689381
61729,738173.0121783403,9.684894989387363,9.648735052810423,9.290971201401566,9.557257345689381
61746,738173.820364313,9.678816421221118,9.690803038323143,9.378966451187692,9.353826824020526
61761,738175.4478193186,9.678816421221118,9.690803038323143,9.377744684722892,9.353826824020526
61822,738178.3636300889,9.690273533535368,9.648735052810423,9.477440896625719,9.489349477289904
61839,738179.7488550274,9.700343591401248,9.65923435222861,9.700343591401248,9.48864882354088
61853,738180.0658619525,9.678816421221118,9.690803038323143,9.213295774497617,9.509586671461058
61876,738181.3867075437,9.684894989387363,9.527701770011067,9.437032844692503,9.45579413915963
61903,738182.567400451,9.74488886640087,9.74488886640087,9.74488886640087,9.74488886640087
61904,738182.5691709525,9.657452574312757,9.657452574312757,9.657452574312757,9.657452574312757
61906,738182.6309425057,9.706294663715166,9.796605965792338,9.706294663715166,9.796605965792338
61918,738183.1884573074,9.700343591401248,9.700343591401248,9.700343591401248,9.654954134882823
61950,738184.4855736861,9.700343591401248,9.750747595147862,9.700343591401248,9.715176098752234
61985,738186.0073855858,9.700343591401248,9.750747595147862,9.700343591401248,9.715176098752234
61989,738186.0874774957,9.725921586354893,9.725921586354893,9.725921586354893,9.725921586354893
62014,738186.8954580321,9.709825511957343,9.614491937428037,9.698287791254529,9.69995625915576
62032,738187.6149373646,9.709825511957343,9.614491937428037,9.698287791254529,9.69995625915576
62033,738187.8752183381,9.709825511957343,9.614491937428037,9.698287791254529,9.69995625915576
62048,738188.6315677776,9.709825511957343,9.614491937428037,9.698287791254529,9.69995625915576
62131,738193.1092458803,9.709825511957343,9.614491937428037,9.698287791254529,9.69995625915576
62180,738195.108989137,9.522950660280781,9.499548382561034,9.708270738242167,9.499548382561034
62184,738195.4701023166,9.711462163258867,9.711462163258867,9.711462163258867,9.822065190509557
62192,738195.9476142806,9.649522963550949,9.472235480144017,9.700343591401248,9.575962705339974
62194,738196.0642128661,9.649522963550949,9.472235480144017,9.700343591401248,9.575962705339974
62238,738197.8757964774,9.469409239327641,9.544931697830132,9.57137506014524,9.607353202438029
62290,738199.604266899,9.469409239327641,9.544931697830132,9.57137506014524,9.607353202438029
62298,738199.9633839038,9.70028094021928,9.51921203373878,9.596811285897799,9.486473553474763
62326,738200.8864395507,9.53569400598228,9.597322227293922,9.621117089910344,9.647639410623258
62349,738201.3180961935,9.53569400598228,9.597322227293922,9.621117089910344,9.647639410623258
62413,738203.2620055642,9.53569400598228,9.597322227293922,9.621117089910344,9.647639410623258
62443,738204.0894031439,9.773946334290885,9.597189462782646,9.522153712092505,9.559635337175978
62468,738204.9439517894,9.773946334290885,9.597189462782646,9.522153712092505,9.559635337175978
62477,738205.1952468099,9.70028094021928,9.51007420053245,9.418202017901727,9.446081224645749
62496,738205.9148110584,9.909223799672988,9.881049653454347,9.909223799672988,9.881049653454347
62500,738206.0411367966,9.909223799672988,9.881049653454347,9.909223799672988,9.881049653454347
62504,738206.2168785331,9.909223799672988,9.881049653454347,9.909223799672988,9.881049653454347
62505,738206.2173257135,10.034246233067153,9.813016848821688,10.034246233067153,9.679374189903344
62510,738206.3590916373,9.743949170696167,9.674396640469567,9.873609118452642,9.509611479773191
62520,738207.0375893819,9.913955199939998,9.718551674624269,9.667971750741653,9.671116162059215
62533,738207.6797989293,9.729845072594646,9.743922958397611,9.490575106120021,9.524561623675341
62551,738208.3728398335,9.729845072594646,9.743922958397611,9.490575106120021,9.524561623675341
62576,738208.8813138066,9.729845072594646,9.743922958397611,9.490575106120021,9.524561623675341
62578,738208.9425621307,9.729845072594646,9.743922958397611,9.490575106120021,9.524561623675341
62626,738210.5399741719,10.167745105127217,10.024811528350615,9.837733616739412,9.718175153426483
62635,738211.3041905382,9.866492723610037,9.988637353928663,9.640153472842774,9.805690569620396
62639,738211.4832719995,9.866492723610037,9.988637353928663,9.640153472842774,9.805690569620396
62641,738211.5416160735,9.866492723610037,9.988637353928663,9.640153472842774,9.805690569620396
62648,738212.0211955224,9.866492723610037,9.988637353928663,9.640153472842774,9.805690569620396
62680,738213.1102814504,9.866492723610037,9.988637353928663,9.640153472842774,9.805690569620396
62704,738213.9719272493,9.9030278753258,10.044413343243088,9.717907549924988,9.86702272547844
62706,738214.0816350323,9.721972417718964,10.044279605112871,9.488299053581079,9.85568942909577
62707,738214.0853103359,9.721972417718964,10.044279605112871,9.488299053581079,9.85568942909577
62712,738214.2839300619,9.89853798433015,10.025204282975952,9.558755777215513,9.844670368280044
62743,738215.2294909063,9.856563323563076,9.977800338333426,9.85860725841976,9.771072340711193
62763,738215.7413470084,9.856563323563076,9.977800338333426,9.85860725841976,9.771072340711193
62764,738215.743100632,9.856563323563076,9.977800338333426,9.85860725841976,9.771072340711193
62864,738219.7843382553,10.168672757614985,9.914516043519102,9.754071799510545,9.708391276276432
62888,738220.7699196703,9.931388842274702,10.096405367390364,9.931388842274702,10.08775394992533
62899,738221.0661246327,9.931388842274702,10.096405367390364,9.931388842274702,10.08775394992533
62931,738221.9982013818,9.931388842274702,10.096405367390364,9.931388842274702,10.08775394992533
62935,738222.2170322121,10.171781479040693,9.991494958358514,10.042048418592685,9.811552478352075
62951,738222.6071596001,10.141880357537753,9.965625312950241,9.706159994792328,9.817352927009063
62955,738222.7032003547,9.93633231196865,10.237663007917476,9.93633231196865,10.029218851274027
62956,738222.7276543528,9.93633231196865,10.237663007917476,9.93633231196865,10.029218851274027
62958,738222.7566359526,10.161061414609726,9.951734543094593,9.90655347729539,9.81970572367145
62962,738222.9288242621,10.161061414609726,9.951734543094593,9.90655347729539,9.81970572367145
62984,738223.7007411008,10.063485017733989,9.901440422094598,9.82264856158539,9.755963958803484
62986,738223.7314983627,10.161819501549282,9.795867343431356,9.911242477161215,9.805292721736658
62988,738223.7735628219,10.161819501549282,9.795867343431356,9.911242477161215,9.805292721736658
63032,738226.1488313738,10.042187818948621,9.964911785441348,9.840123291064762,9.949443048794407
63062,738227.488957873,9.81000787496037,9.86073349322056,10.044443222537971,9.798168238184365
63064,738227.6798201115,9.974135204378296,9.817060858256587,9.704646164055635,9.768462679563
63079,738228.3635255279,9.8503100698971,9.722551149593532,9.97505140346795,9.750123190005239
63142,738230.4269204454,9.987043503212723,9.914362718811981,10.170895492518808,9.706453082422474
63171,738231.3983206091,9.878994177681633,9.878994177681633,9.99348353770409,10.139813428924601
63182,738231.8349015617,9.878994177681633,9.878994177681633,9.99348353770409,10.139813428924601
63187,738232.0887472217,9.878994177681633,9.878994177681633,9.99348353770409,10.139813428924601
63209,738232.736401984,9.878994177681633,9.878994177681633,9.99348353770409,10.139813428924601
63211,738232.9215472455,9.878994177681633,9.878994177681633,9.99348353770409,10.139813428924601
63227,738233.3820407197,9.916489027920266,9.725886993417646,10.164928811056111,9.533640207626213
63252,738234.8647715517,9.916489027920266,9.725886993417646,10.164928811056111,9.533640207626213
63273,738235.4099855076,9.997443943062493,9.971219320815145,10.235537161036016,9.907509102802127
63330,738236.9612557945,9.831820140169864,9.794672380162169,10.143696326295789,9.760582198753765
63345,738237.3770044588,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63392,738238.8849403852,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63395,738239.0820862408,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63396,738239.0822546156,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63400,738239.118628509,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63461,738240.9742120425,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
63490,738242.049270709,9.91845116920728,9.80364651349956,9.81411541236215,9.890795506508393
