Index,Time[d.s],bp_T(15)_S(17)_EvLim(20),bp_T(15)_S(33)_EvLim(20),bp_T(30)_S(17)_EvLim(20),bp_T(30)_S(33)_EvLim(20)
60,736696.7270373651,0.8796082317648768,0.8614408377063868,0.85969556144671,0.852242669972603
61,736696.7289626632,0.8792934052618654,0.8613356112903744,0.8596253490556668,0.8522370975446709
62,736696.7466609849,0.8792934052618654,0.8613356112903744,0.8596253490556668,0.8522370975446709
64,736696.7477956496,0.8843745744909661,0.8662428893146098,0.8636122154463046,0.856024729868117
65,736696.748441005,0.8843745744909661,0.8662428893146098,0.8636122154463046,0.856024729868117
66,736696.7503044208,0.8843745744909661,0.8662428893146098,0.8636122154463046,0.856024729868117
69,736696.8015765945,0.8843745744909661,0.8662428893146098,0.8636122154463046,0.856024729868117
80,736697.0482072401,0.8843745744909661,0.8662428893146098,0.8636122154463046,0.856024729868117
83,736697.1784262529,0.8669288872139662,0.8501829413645896,0.8505767502713458,0.84388015292875
85,736697.183411025,0.8625961902740733,0.8463085946812222,0.8474038671282963,0.8409575029938489
86,736697.1838582024,0.8625961902740733,0.8463085946812222,0.8474038671282963,0.8409575029938489
87,736697.1879842123,0.8625961902740733,0.8463085946812222,0.8474038671282963,0.8409575029938489
88,736697.188537048,0.8678581359025856,0.8527521383794564,0.8556121790903009,0.8458974295843209
89,736697.217336168,0.8625961902740733,0.8463085946812222,0.8474038671282963,0.8432902561228192
90,736697.2310712218,0.8658830791840536,0.8495387020039898,0.8500425802376814,0.8400538028831709
91,736697.2345466252,0.8658830791840536,0.8495387020039898,0.8541877813766818,0.8400538028831709
92,736697.2631628783,0.8658830791840536,0.8495387020039898,0.8541877813766818,0.8400538028831709
93,736697.2671625753,0.8738138300065428,0.8571037732450203,0.8562366967064757,0.8459417055477454
94,736697.2675507521,0.8742986694026024,0.8577188633599613,0.8567477349494782,0.8465005890607008
95,736697.2698799974,0.878887034105109,0.86216498937586,0.8604012742611156,0.8500074065471017
99,736697.34544854,0.878887034105109,0.86216498937586,0.8604012742611156,0.8500074065471017
103,736697.3857519818,0.878887034105109,0.86216498937586,0.8604012742611156,0.8500074065471017
114,736697.5343603707,0.9043916862304728,0.8699671295562956,0.8717329185948787,0.8534887777388168
119,736697.6775968316,0.9009496025935368,0.862610475363391,0.8674785912097549,0.8528441487526092
121,736697.7393439732,0.9009496025935368,0.862610475363391,0.8633398574730672,0.8528441487526092
122,736697.7547741223,0.9091806662808615,0.870295425424984,0.8695551361800369,0.8587558811973732
123,736697.7920137866,0.9112347501117328,0.8724855009954152,0.875482527011317,0.860505427968016
124,736697.7971484552,0.9138279723380925,0.8751526083692731,0.8735024148902613,0.8626219547958854
125,736697.8000056774,0.9138279723380925,0.8751526083692731,0.8735024148902613,0.8626219547958854
126,736697.8007816429,0.920191881057991,0.8811772096587717,0.8783942954769439,0.867294494411859
127,736697.8018472189,0.922506323696328,0.8835933796879979,0.880372409908354,0.8692328399842697
132,736697.9231698865,0.922506323696328,0.8835933796879979,0.880372409908354,0.8692328399842697
133,736698.0953218101,1.0482970252837112,1.0657533298239306,1.2094276711229788,1.183363710908043
135,736698.1459244792,1.0099871672168645,0.8920367879468201,1.0099871672168645,0.8527617065332465
137,736698.1917378429,0.9183941870259898,0.8697269242681628,0.8777009739174019,0.8587387254847665
138,736698.2063595364,1.0818723748479584,0.8899477088181387,0.9729611610867145,0.9870329134164814
145,736698.5009107128,0.9219757500978859,0.8732787943688548,0.8805971061632756,0.8557526737009886
150,736698.6097533739,0.9219757500978859,0.8732787943688548,0.8805971061632756,0.8557526737009886
152,736698.7214087547,0.9097868593230176,0.8795012946850027,0.8915135992148865,0.8604902322092401
158,736698.8769909572,0.924959113557257,0.8763068961024517,0.8830632333455509,0.8581904517632407
159,736698.8845593323,0.9269800431607409,0.878491964129417,0.8848329112822827,0.8599890730757461
161,736699.067225867,0.9269800431607409,0.878491964129417,0.8848329112822827,0.8599890730757461
166,736699.3172488107,0.9151961764985598,0.8685889638065035,0.8741994978974873,0.8502289474059972
167,736699.321053482,0.9151961764985598,0.8685889638065035,0.8741994978974873,0.8502289474059972
168,736699.3299054798,0.912629622661547,0.8667316816315789,0.8725964437704865,0.8489232595211927
172,736699.4693804912,0.912629622661547,0.8667316816315789,0.8659648279641877,0.8423281451631808
173,736699.4772789205,0.9101236999306096,0.8649149886335471,0.8644293039977925,0.8410848744804282
175,736699.7965563278,0.9101236999306096,0.8649149886335471,0.8856254223120483,0.8601783312344337
177,736699.8808823023,0.9101236999306096,0.8649149886335471,0.8856254223120483,0.8601783312344337
179,736699.963734309,0.9101236999306096,0.8649149886335471,0.8856254223120483,0.8601783312344337
181,736699.9904910485,0.9168255513743048,0.871187241544443,0.8911374414927598,0.8654073192504358
186,736700.1128344737,0.9168255513743048,0.871187241544443,0.8911374414927598,0.8654073192504358
188,736700.1513677194,1.4847674594982965,0.8944818597465348,0.8809218699863122,0.8835310327425914
190,736700.1639952821,1.4847674594982965,0.8944818597465348,0.8809218699863122,0.8835310327425914
191,736700.164252193,1.4847674594982965,0.8944818597465348,0.8298620673310546,0.8835310327425914
192,736700.1685312352,0.9214052277545784,0.8552031749807184,0.8949669366769831,0.852167631348403
193,736700.1707876709,0.9287523931693311,0.8619017947096186,0.9009979962073965,0.8599278202927636
196,736700.191118254,0.9360856671766065,0.8685889638065037,0.9070197255095762,0.8633714671703663
212,736700.8139550469,0.9400313461109346,0.8724335863905978,0.9103583467762368,0.866608145188929
220,736700.982246792,1.0832742178992674,1.4975671789767302,1.0832742178992674,0.9143041724278989
223,736701.0635213538,0.9400313461109346,0.8829270961369323,0.9103583467762368,0.866608145188929
226,736701.1401509905,0.9599789608825194,0.9099651572829597,0.9483975088946166,0.8961733052591615
232,736701.2622168217,0.9335144750437829,0.9029807524656291,0.9233032292431335,0.8896872617274693
234,736701.2736062407,0.9453915710858687,0.8866299559537358,0.92172361952001,0.8766036255255945
236,736701.3883042628,0.9562602582826863,0.896014808375923,0.9248989905863175,0.8793929341402262
241,736701.7083559277,0.9525130901256855,0.8917913220982636,0.9248989905863175,0.8793929341402262
242,736701.7306777586,0.9629589399185183,0.9002587816613771,0.9311164948473474,0.8851622137663847
245,736701.8005439806,0.9611796655320697,0.898205468441605,0.9316436888333398,0.8859332916285267
247,736701.9664963023,0.9462331411860709,0.8926082400851587,0.9360087225152076,0.8859332916285267
254,736702.1790070629,0.9649003095155563,0.9008559873535299,0.9369382738561539,0.8951925741074429
270,736702.8097757607,0.9970784554938563,0.9552208770084589,0.9453011742021923,0.9149102962899972
273,736702.8442262692,1.0007255872682503,0.942090693132054,0.9479455482765085,0.9063647243456654
274,736702.8553099337,1.0036849593326826,0.9288747568490603,0.9393391923356114,0.8978952676822434
275,736702.8562180917,1.0003525758125158,0.9288747568490603,0.9436819532802972,0.8978952676822434
276,736702.8759951474,1.0016016649060235,0.9271250974075279,0.9406622396318144,0.8993530402166738
277,736702.8914072841,0.9728042287032255,0.9035009419518267,0.9229322471714225,0.8837211757195088
280,736702.9357958995,1.66237122259618,0.8952750469363369,1.66237122259618,0.8789222387758959
283,736702.9699315508,0.9728042287032255,0.9035009419518267,0.9229322471714225,0.8837211757195088
284,736702.9780307193,0.9629589399185187,0.9035009419518267,0.9163419974778864,0.8837211757195088
285,736702.986791513,0.9623462631028619,0.9035132250037645,0.9162601196837564,0.8838611219684066
289,736703.057471654,0.9731554735090442,0.9044178237472604,0.9210574795373921,0.8825426791388337
300,736703.2709141312,0.9826107229441856,0.9117882518555839,0.9194120169666019,0.8808124839925224
317,736703.4869677182,0.9744398846047447,0.9230774171695201,0.9203591669472887,0.8816639806625882
322,736703.6736098623,0.9555434145286069,0.9230774171695201,0.9138332977069602,0.8816639806625882
330,736704.0442534585,0.965311238385309,0.9251887459091832,0.9203591669472887,0.8816639806625882
331,736704.1395784294,0.9960882612459901,0.9224761865873489,0.7449305006916842,0.8802859136175866
332,736704.1826149058,0.9477904639634492,0.9077466629945018,0.9101416371725902,0.8717697453096606
337,736704.3711172484,0.9373262199350757,0.8974880799819214,0.9101416371725902,0.8717697453096606
347,736704.5601112023,0.9422562723739191,0.9019615408167222,0.9161536534875705,0.8774220719130105
349,736704.6203426569,0.9412249060512682,0.9010258960648377,0.920832090578076,0.8818758939418947
351,736704.6358790786,0.9505241451154559,0.9098473900068125,0.9269625515096807,0.8876349048103821
354,736704.6600398825,0.9505241451154559,0.9098473900068125,0.9269625515096807,0.8876349048103821
355,736704.665594627,1.8190344791759248,0.9060756218885597,0.7912247646010663,0.8879844128234367
358,736704.7449546199,0.96746376008744,0.9345577458677571,0.9304080201809422,0.8969634952915433
360,736704.8206121922,0.96746376008744,0.9345577458677571,0.9304080201809422,0.8969634952915433
361,736704.8208371856,1.0832742178992674,0.8863152691903097,1.0832742178992674,0.7084738693364628
367,736704.9450051066,0.9625574428840998,0.9303729541604604,0.9275832590842628,0.8946141012988333
369,736705.0512243186,0.9625574428840998,0.9303729541604604,0.9275832590842628,0.8946141012988333
378,736705.2002089528,0.8859500042947028,0.8691104300645422,0.8982121184411865,0.8703743470825706
