Index,Parent,CB
2482399.0,2482309.0,0.0
2482479.0,2475469.0,0.0
2482489.0,2481199.0,0.0
2482559.0,2475469.0,0.0
2482589.0,2482559.0,0.0
2482599.0,2482299.0,0.0
2482609.0,2481889.0,0.0
2482669.0,2482589.0,0.0
2482719.0,2482589.0,0.0
2482769.0,2482609.0,0.0
2482809.0,2482399.0,0.0
2482959.0,2477379.0,0.0
2483149.0,2482489.0,0.0
2483169.0,2480119.0,0.0
2483179.0,2479849.0,0.0
2483219.0,2481889.0,0.0
2483229.0,2483179.0,1.0
2483269.0,2483229.0,1.0
2483299.0,2483269.0,1.0
2483319.0,2483299.0,1.0
2483339.0,2483229.0,0.0
2483429.0,2481329.0,1.0
2483459.0,2483429.0,0.0
2483489.0,2482489.0,0.0
2483499.0,2483489.0,1.0
2483519.0,2483499.0,0.0
2483559.0,2483459.0,0.0
2483949.0,2482559.0,0.0
2484189.0,2483229.0,0.0
2484259.0,2484189.0,0.0
2484269.0,2484189.0,0.0
2484279.0,2484259.0,1.0
2484299.0,2484269.0,0.0
2484319.0,2484299.0,1.0
2484339.0,2484319.0,1.0
2484359.0,2484299.0,1.0
2484379.0,2484319.0,0.0
2484409.0,2484359.0,1.0
2484419.0,2484409.0,0.0
2484429.0,2484419.0,1.0
2484439.0,2484419.0,0.0
2484459.0,2484379.0,0.0
2484469.0,2480119.0,1.0
2484509.0,2484299.0,0.0
2484639.0,2484259.0,1.0
2484669.0,2484639.0,1.0
2484709.0,2484359.0,1.0
2484719.0,2484359.0,1.0
2484739.0,2484639.0,1.0
2484749.0,2484739.0,1.0
2484789.0,2484469.0,1.0
2484809.0,2484789.0,0.0
2484819.0,2484789.0,0.0
2484959.0,2484639.0,0.0
2484979.0,2483459.0,0.0
2485059.0,2484639.0,0.0
2485079.0,2485059.0,0.0
2485179.0,2480019.0,0.0
2485349.0,2481889.0,1.0
2485389.0,2484189.0,0.0
2485779.0,2485349.0,0.0
2485859.0,2484189.0,0.0
2486089.0,2485179.0,0.0
2486149.0,2484189.0,0.0
2486179.0,2484279.0,0.0
2486189.0,2483459.0,0.0
2486229.0,2485179.0,1.0
2486239.0,2484639.0,0.0
2486279.0,2486229.0,0.0
2486369.0,2484429.0,1.0
2486409.0,2486369.0,0.0
2486499.0,2482399.0,0.0
2486519.0,2484789.0,1.0
2486569.0,2481299.0,1.0
2486579.0,2486229.0,0.0
2486779.0,2484379.0,0.0
2486799.0,2486779.0,0.0
2486959.0,2486569.0,0.0
2486999.0,2486779.0,0.0
2487009.0,2486999.0,0.0
2487029.0,2482769.0,0.0
2487099.0,2485349.0,1.0
2487119.0,2486579.0,1.0
2487139.0,2486369.0,0.0
2487419.0,2486369.0,0.0
2487429.0,2482769.0,0.0
2487499.0,2482809.0,0.0
2487559.0,2486369.0,1.0
2487599.0,2484379.0,0.0
2487609.0,2487599.0,0.0
2487699.0,2487499.0,1.0
2487709.0,2487609.0,0.0
2487739.0,2487709.0,0.0
2487749.0,2487119.0,1.0
2488019.0,2487609.0,1.0
2488029.0,2488019.0,0.0
2488039.0,2488019.0,1.0
2488059.0,2485059.0,0.0
2488269.0,2487749.0,1.0
2488319.0,2488269.0,1.0
2488529.0,2488269.0,0.0
2488539.0,2484789.0,1.0
2488629.0,2487609.0,0.0
2488749.0,2483489.0,1.0
2488779.0,2487739.0,0.0
