Index,Parent,CB
92333.0,92303.0,0.0
92343.0,92311.0,1.0
92363.0,92343.0,1.0
92364.0,92363.0,1.0
92366.0,92364.0,1.0
92367.0,92366.0,0.0
92390.0,92206.0,0.0
92401.0,90583.0,0.0
92403.0,92401.0,0.0
92408.0,92333.0,1.0
92409.0,92408.0,1.0
92411.0,92409.0,1.0
92412.0,92409.0,1.0
92433.0,92311.0,1.0
92435.0,92433.0,1.0
92438.0,92433.0,1.0
92441.0,92433.0,1.0
92442.0,92441.0,1.0
92450.0,92441.0,1.0
92451.0,92442.0,1.0
92452.0,92451.0,1.0
92453.0,92452.0,1.0
92454.0,92390.0,1.0
92458.0,92408.0,1.0
92466.0,92453.0,0.0
92471.0,92466.0,0.0
92509.0,92188.0,1.0
92510.0,92509.0,1.0
92513.0,92509.0,1.0
92514.0,92509.0,1.0
92518.0,92513.0,1.0
92524.0,92408.0,1.0
92526.0,92509.0,1.0
92527.0,92526.0,1.0
92528.0,92509.0,1.0
92531.0,92527.0,1.0
92532.0,92526.0,0.0
92534.0,92526.0,1.0
92535.0,92534.0,1.0
92539.0,92513.0,1.0
92541.0,92539.0,1.0
92545.0,92539.0,1.0
92552.0,92545.0,1.0
92553.0,92513.0,1.0
92556.0,92553.0,1.0
92561.0,92553.0,1.0
92562.0,92556.0,1.0
92563.0,92562.0,1.0
92564.0,92563.0,1.0
92565.0,92562.0,1.0
92572.0,92564.0,1.0
92573.0,92572.0,1.0
92595.0,92441.0,1.0
92613.0,92573.0,0.0
92617.0,92613.0,1.0
92618.0,92513.0,1.0
92622.0,92510.0,0.0
92623.0,92622.0,0.0
92626.0,92408.0,1.0
92684.0,92539.0,1.0
92685.0,92684.0,1.0
92686.0,92684.0,1.0
92689.0,92684.0,1.0
92690.0,92573.0,1.0
92691.0,92684.0,1.0
92692.0,92684.0,1.0
92694.0,92684.0,1.0
92695.0,92684.0,1.0
92697.0,92691.0,1.0
92704.0,92684.0,0.0
92716.0,91680.0,1.0
92722.0,92454.0,1.0
92724.0,92722.0,1.0
92728.0,92722.0,0.0
92759.0,92728.0,0.0
92791.0,92728.0,0.0
92800.0,92728.0,0.0
92810.0,92728.0,1.0
92822.0,92728.0,1.0
92824.0,92408.0,1.0
92842.0,92728.0,0.0
92848.0,92728.0,0.0
92859.0,92728.0,0.0
92881.0,92728.0,0.0
92889.0,92466.0,1.0
92891.0,92889.0,0.0
92909.0,92408.0,1.0
92911.0,92408.0,1.0
92912.0,92911.0,1.0
92913.0,92912.0,1.0
92914.0,92912.0,1.0
92916.0,92911.0,1.0
92922.0,92911.0,1.0
92923.0,92922.0,0.0
92945.0,92916.0,1.0
92946.0,92945.0,1.0
92952.0,92945.0,1.0
92953.0,92945.0,0.0
92956.0,92945.0,1.0
92957.0,92945.0,1.0
92967.0,92945.0,1.0
92970.0,92945.0,0.0
93010.0,92945.0,1.0
93063.0,92945.0,1.0
93074.0,93063.0,0.0
93082.0,92859.0,0.0
93083.0,93082.0,1.0
93088.0,93063.0,1.0
93089.0,92945.0,1.0
93129.0,92945.0,1.0
93147.0,92945.0,1.0
93153.0,93147.0,1.0
93162.0,93147.0,1.0
93164.0,93147.0,1.0
93207.0,93147.0,1.0
93264.0,92916.0,1.0
93265.0,93264.0,0.0
93279.0,92728.0,1.0
93289.0,93147.0,0.0
93320.0,92945.0,1.0
93342.0,92524.0,0.0
93411.0,92945.0,0.0
93412.0,93411.0,1.0
93417.0,92911.0,1.0
93419.0,93417.0,1.0
93420.0,93419.0,1.0
93421.0,93417.0,1.0
93425.0,93417.0,1.0
93434.0,93417.0,1.0
